college,state,city,average_costs,graduation_rate,salary_after_attending,students
University of Southern California,CA,Los Angeles,29977.0,92.0,74000,18557
Drexel University,PA,Philadelphia,36050.0,69.0,68800,15350
California Polytechnic State University-San Luis Obispo,CA,San Luis Obispo,18845.0,78.0,66900,20367
Boston University,MA,Boston,34914.0,86.0,65300,16512
University of California-Berkeley,CA,Berkeley,14468.0,92.0,64700,29309
University of Michigan-Ann Arbor,MI,Ann Arbor,14897.0,91.0,63400,28761
University of Maryland-College Park,MD,College Park,16928.0,86.0,62900,27864
Virginia Polytechnic Institute and State University,VA,Blacksburg,19413.0,84.0,62500,25725
American Public University System,WV,Charles Town,11262.0,37.0,62400,37826
New York University,NY,New York,37362.0,84.0,61900,25716
University of Illinois at Urbana-Champaign,IL,Champaign,18243.0,85.0,61500,32752
University of Virginia-Main Campus,VA,Charlottesville,19177.0,94.0,61200,15963
University of California-Los Angeles,CA,Los Angeles,13572.0,91.0,60700,30859
University of California-San Diego,CA,La Jolla,14775.0,87.0,59900,28121
George Mason University,VA,Fairfax,19479.0,70.0,59900,23179
Brigham Young University-Provo,UT,Provo,12795.0,82.0,59700,30979
Chamberlain University-Illinois,IL,Addison,26529.0,,58400,15858
University of Connecticut,CT,Storrs,21223.0,83.0,58400,19030
University of California-Irvine,CA,Irvine,13712.0,88.0,58400,27317
University of California-Davis,CA,Davis,15309.0,85.0,58200,29358
SUNY Downstate Medical Center,NY,Brooklyn,,,127900,338
Louisiana State University Health Sciences Center-Shreveport,LA,Shreveport,,,96700,28
Maine Maritime Academy,ME,Castine,21440.0,60.0,95600,1014
The University of Texas Health Science Center at Houston,TX,Houston,,,90300,677
University of Maryland Baltimore,MD,Baltimore,,,89700,904
Oregon Health & Science University,OR,Portland,,,89000,777
United States Merchant Marine Academy,NY,Kings Point,6866.0,73.0,88100,904
Massachusetts Maritime Academy,MA,Buzzards Bay,16960.0,74.0,86600,1641
Los Angeles County College of Nursing and Allied Health,CA,Los Angeles,,,86500,200
The University of Texas MD Anderson Cancer Center,TX,Houston,,,86400,339
Colorado School of Mines,CO,Golden,27013.0,77.0,84900,4564
Medical University of South Carolina,SC,Charleston,,,83700,306
California State University Maritime Academy,CA,Vallejo,16192.0,60.0,82900,1107
SUNY Maritime College,NY,Throggs Neck,18248.0,56.0,82800,1626
Texas Tech University Health Sciences Center,TX,Lubbock,,,80300,1544
Georgia Institute of Technology-Main Campus,GA,Atlanta,11639.0,86.0,79100,14766
The University of Texas Health Science Center at San Antonio,TX,San Antonio,,,79000,852
The University of Texas Medical Branch,TX,Galveston,,,77600,739
Upstate Medical University,NY,Syracuse,,,76400,207
Missouri University of Science and Technology,MO,Rolla,14303.0,65.0,71200,6857
