All institutions,Dollars,Public institutions,Dollars,Private nonprofit and for-profit institutions,Dollars
1995–96,10330,1995–96,7014,1995–96,17612
2000–01,12922,2000–01,8653,2000–01,21856
2001–02,13639,2001–02,9196,2001–02,22896
2002–03,14439,2002–03,9787,2002–03,23787
2003–04,15505,2003–04,10674,2003–04,25070
2004–05,16510,2004–05,11426,2004–05,26260
2005–06,17451,2005–06,12108,2005–06,27333
2006–07,18471,2006–07,12797,2006–07,28919
2007–08,19363,2007–08,13429,2007–08,30226
2008–09,20409,2008–09,14262,2008–09,31273
2009–10,21126,2009–10,15036,2009–10,31847
2010–11,22074,2010–11,15919,2010–11,32517
2011–12,23011,2011–12,16787,2011–12,33677
2012–13,23871,2012–13,17475,2012–13,35071
2013–14,24701,2013–14,18100,2013–14,36599
2014–15,25409,2014–15,18632,2014–15,37990
2015–16,26120,2015–16,19189,2015–16,39529
