Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1995,2.9,3,3,3.1,3.1,3,3,2.9,2.9,3,3,3,3,3
2000,2,2.2,2.4,2.3,2.4,2.5,2.5,2.6,2.6,2.5,2.6,2.6,2.3,2.5
2001,2.6,2.7,2.7,2.6,2.5,2.7,2.7,2.7,2.6,2.6,2.8,2.7,2.6,2.7
2002,2.6,2.6,2.4,2.5,2.5,2.3,2.2,2.4,2.2,2.2,2,1.9,2.5,2.2
2003,1.9,1.7,1.7,1.5,1.6,1.5,1.5,1.3,1.2,1.3,1.1,1.1,1.7,1.3
2004,1.1,1.2,1.6,1.8,1.7,1.9,1.8,1.7,2,2,2.2,2.2,1.6,2
2005,2.3,2.4,2.3,2.2,2.2,2,2.1,2.1,2,2.1,2.1,2.2,2.2,2.1
2006,2.1,2.1,2.1,2.3,2.4,2.6,2.7,2.8,2.9,2.7,2.6,2.6,2.2,2.7
2007,2.7,2.7,2.5,2.3,2.2,2.2,2.2,2.1,2.1,2.2,2.3,2.4,2.4,2.3
2008,2.5,2.3,2.4,2.3,2.3,2.4,2.5,2.5,2.5,2.2,2,1.8,2.3,2.3
2009,1.7,1.8,1.8,1.9,1.8,1.7,1.5,1.4,1.5,1.7,1.7,1.8,1.8,1.6
2010,1.6,1.3,1.1,0.9,0.9,0.9,0.9,0.9,0.8,0.6,0.8,0.8,1.1,0.8
2011,1,1.1,1.2,1.3,1.5,1.6,1.8,2,2,2.1,2.2,2.2,1.3,2
2012,2.3,2.2,2.3,2.3,2.3,2.2,2.1,1.9,2,2,1.9,1.9,2.2,2
2013,1.9,2,1.9,1.7,1.7,1.6,1.7,1.8,1.7,1.7,1.7,1.7,1.8,1.7
2014,1.6,1.6,1.7,1.8,2,1.9,1.9,1.7,1.7,1.8,1.7,1.6,1.8,1.7
2015,1.6,1.7,1.8,1.8,1.7,1.8,1.8,1.8,1.9,1.9,2,2.1,1.7,1.9
